酈 郦
確 确
緋 绯
賂 赂
曆 历
齋 斋
屍 尸
罌 罂
違 违
釔 钇
慟 恸
繡 绣
糢 模
顥 颢
偽 伪
襯 衬
諮 谘
擲 掷
聵 聩
俁 俣
壺 壶
鑽 钻
協 协
鶉 鹑
鰈 鲽
蠐 蛴
貓 猫
欒 栾
鄖 郧
閙 闹
鐘 钟
稜 棱
巖 岩
鴞 鸮
撣 掸
輪 轮
厭 厌
靜 静
禱 祷
頰 颊
徵 征
縴 纤
証 证
燁 烨
竇 窦
鱈 鳕
齊 齐
蕎 荞
賓 宾
濕 湿
勗 勖
皸 皲
痙 痉
飛 飞
靚 靓
鯝 鲴
廟 庙
鵞 鹅
擣 捣
諧 谐
淩 凌
鋸 锯
鉬 钼
颼 飕
駱 骆
顰 颦
鳳 凤
劍 剑
慶 庆
藹 蔼
詼 诙
滿 满
鐃 铙
鎂 镁
隄 堤
紉 纫
讒 谗
輕 轻
醖 酝
縟 缛
綞 缍
莢 荚
榦 干
洩 泄
貨 货
倫 伦
匭 匦
銬 铐
嘯 啸
單 单
礱 砻
鰳 鳓
癲 癫
張 张
麴 曲
憶 忆
蠻 蛮
欽 钦
剋 克
鷊 鹝
牋 笺
捍 扞
藎 荩
畢 毕
軔 轫
鉗 钳
顛 颠
矚 瞩
幟 帜
緞 缎
摣 揸
噯 嗳
罵 骂
黴 霉
艷 艳
懶 懒
譽 誉
邁 迈
儀 仪
閃 闪
箇 个
順 顺
紈 纨
縊 缢
躂 跶
躕 蹰
輔 辅
倖 幸
稅 税
簞 箪
熱 热
販 贩
醫 医
鐮 镰
颱 台
瀉 泻
綳 绷
麵 面
鼴 鼹
氾 泛
靄 霭
鯇 鲩
顆 颗
鶹 鹠
詒 诒
潔 洁
鏗 铿
駛 驶
竝 并
惡 恶
鋭 锐
鍬 锹
矯 矫
鹹 咸
聶 聂
數 数
鰉 鳇
纊 纩
蠑 蝾
贓 赃
誒 诶
摯 挚
傖 伧
鐙 镫
閘 闸
餛 馄
皚 皑
鮜 鲘
膠 胶
蔣 蒋
趨 趋
躪 躏
爭 争
鎬 镐
報 报
禰 祢
紳 绅
縵 缦
悶 闷
褻 亵
殼 壳
漿 浆
鳴 鸣
釀 酿
鋂 镅
飆 飙
鱉 鳖
態 态
穌 稣
諒 谅
蹕 跸
廏 厩
寜 宁
齟 龃
糞 粪
臠 脔
淨 净
璦 瑷
鉭 钽
壼 壸
顱 颅
駰 骃
絳 绛
鹵 卤
蛺 蛱
潿 涠
賾 赜
鈀 钯
儂 侬
鬆 松
縈 萦
訐 讦
趕 赶
颮 飑
妝 妆
頜 颌
採 采
銫 铯
騰 腾
綵 彩
檻 槛
覽 览
貿 贸
輾 辗
縞 缟
鉀 钾
盃 杯
鑄 铸
壇 坛
筆 笔
拋 抛
臍 脐
詐 诈
豔 艳
韙 韪
陘 陉
駝 驼
硜 硁
藥 药
棧 栈
燭 烛
廳 厅
櫻 樱
敺 驱
錁 锞
銀 银
頇 顸
鼉 鼍
纈 缬
鎖 锁
娛 娱
喚 唤
墜 坠
鰟 鳑
從 从
蔥 葱
輩 辈
鄭 郑
琯 管
鬱 郁
窰 窑
帳 帐
紵 纻
註 注
薺 荠
谿 溪
獁 犸
狀 状
廈 厦
緊 紧
慍 愠
蟎 螨
鷹 鹰
賔 宾
囘 回
驛 驿
嗚 呜
鱟 鲎
淪 沦
瑯 琅
繳 缴
糴 籴
職 职
書 书
藺 蔺
濾 滤
唄 呗
鼈 鳖
誑 诳
謐 谧
贔 赑
熗 炝
嚙 啮
團 团
餜 馃
鸞 鸾
撥 拨
攤 摊
覧 览
陝 陕
傭 佣
嘮 唠
嬰 婴
砲 炮
粵 粤
鴴 鸻
戶 户
殻 壳
渾 浑
勁 劲
區 区
韃 鞑
彈 弹
媯 妫
歐 欧
賕 赇
釗 钊
雙 双
鯛 鲷
篤 笃
鐺 铛
試 试
煬 炀
癮 瘾
灩 滟
塲 场
綿 绵
懷 怀
艶 艳
蝸 蜗
摺 折
製 制
乾 干
鈁 钫
鋁 铝
媮 偷
鍀 锝
縉 缙
羈 羁
攏 拢
樑 梁
讐 仇
輓 挽
犖 荦
堝 埚
鴟 鸱
誦 诵
錫 锡
貪 贪
腳 脚
甯 宁
嚮 向
稱 称
弳 弪
雲 云
鰵 鳘
綴 缀
愷 恺
罈 坛
僂 偻
彷 仿
島 岛
簣 篑
兗 兖
魛 鱽
瓚 瓒
點 点
扡 扦
櫺 棂
諦 谛
獫 猃
質 质
釬 焊
鯰 鲶
飲 饮
練 练
擺 摆
戇 戆
軾 轼
鈄 钭
纇 颣
紆 纡
須 须
輒 辄
讕 谰
瀘 泸
錚 铮
篛 箬
餞 饯
璫 珰
瞭 了
阬 坑
綱 纲
墳 坟
費 费
繞 绕
調 调
嚴 严
靂 雳
剄 刭
絆 绊
擋 挡
腎 肾
豐 丰
詔 诏
燙 烫
灘 滩
鍚 钖
饞 馋
艤 舣
癬 癣
鋯 锆
緱 缑
齲 龋
寵 宠
劄 札
綆 绠
餉 饷
鮊 鲌
檔 档
嘗 尝
傘 伞
鎚 锤
纜 缆
稟 禀
螢 萤
鐫 镌
紱 绂
脹 胀
溼 湿
灃 沣
獅 狮
饉 馑
飈 飙
鯊 鲨
誣 诬
術 术
闖 闯
煙 烟
樺 桦
籛 篯
驟 骤
擠 挤
撓 挠
湧 涌
壽 寿
靭 韧
囬 回
統 统
糰 团
顳 颞
髴 佛
藶 苈
幾 几
軼 轶
詿 诖
醃 腌
銅 铜
錄 录
玀 猡
覓 觅
誕 诞
謔 谑
備 备
鄘 墉
蘢 茏
喫 吃
訪 访
細 细
馳 驰
縲 缧
窵 窎
搶 抢
療 疗
鋅 锌
獄 狱
屆 届
饈 馐
驊 骅
賑 赈
槓 杠
鯢 鲵
鉚 铆
廝 厮
彜 彝
類 类
擡 抬
懣 懑
楨 桢
釦 扣
絰 绖
嫵 妩
魴 鲂
摶 抟
腸 肠
毿 毵
門 门
隂 阴
鎄 锿
鼇 鳌
銖 铢
躒 跞
訕 讪
這 这
鴛 鸳
銚 铫
縝 缜
龜 龟
脣 唇
暢 畅
說 说
匯 汇
鰱 鲢
綰 绾
囂 嚣
鉅 巨
秈 籼
竊 窃
籌 筹
楓 枫
軒 轩
評 评
遙 遥
釘 钉
絛 绦
譎 谲
壞 坏
慣 惯
濺 溅
賦 赋
槨 椁
畫 画
櫪 枥
癭 瘿
巰 巯
聹 聍
懸 悬
濼 泺
歿 殁
劃 划
熅 煴
稈 秆
養 养
醬 酱
踐 践
訂 订
蠔 蚝
圖 图
厙 厍
鰜 鳒
攢 攒
貧 贫
輦 辇
倆 俩
閭 闾
傯 偬
錮 锢
紲 绁
場 场
鶴 鹤
韁 缰
築 筑
饊 馓
藍 蓝
櫓 橹
牘 牍
緝 缉
籜 箨
壟 垄
硤 硖
蕢 蒉
臥 卧
蓧 莜
賧 赕
襪 袜
獮 狝
鵲 鹊
顴 颧
擷 撷
揹 背
嚕 噜
滻 浐
嚀 咛
鈃 钘
閂 闩
還 还
將 将
羆 罴
蘋 苹
屬 属
訓 训
梔 栀
猙 狰
銘 铭
縛 缚
紝 纴
鮞 鲕
辦 办
誨 诲
親 亲
鎮 镇
網 网
餵 喂
貼 贴
囀 啭
煅 锻
竈 灶
敍 叙
懌 怿
潑 泼
淒 凄
絝 绔
曠 旷
櫨 栌
珮 佩
鷲 鹫
飴 饴
葷 荤
蟶 蛏
臺 台
購 购
桿 杆
億 亿
嶇 岖
嬈 娆
頊 顼
躑 踯
讓 让
嘖 啧
錘 锤
紜 纭
鄺 邝
渦 涡
謨 谟
醯 酰
鈮 铌
鰲 鳌
斷 断
貽 贻
榿 桤
參 参
呂 吕
僅 仅
緇 缁
繆 缪
崍 崃
塊 块
臏 膑
軑 轪
務 务
鍘 铡
鵜 鹈
駟 驷
曡 叠
慤 悫
畬 畲
剮 剐
罰 罚
篳 筚
籲 吁
儕 侪
賽 赛
鞀 鼗
钂 镋
瀅 滢
鴇 鸨
墊 垫
損 损
薌 芗
燬 毁
沒 没
覔 觅
隖 坞
鎘 镉
傚 效
綜 综
堦 阶
憤 愤
閬 阆
縱 纵
馴 驯
攷 考
輻 辐
涼 凉
鷴 鹇
噁 恶
獃 呆
燄 焰
訣 诀
綢 绸
衕 同
觔 斤
雖 虽
鏘 锵
豎 竖
鱝 鲼
緜 绵
恥 耻
詩 诗
鑭 镧
鋮 铖
糲 粝
塵 尘
蕷 蓣
菸 烟
滾 滚
跼 局
諾 诺
羅 罗
劇 剧
鄆 郓
閉 闭
訌 讧
憑 凭
蒓 莼
宮 宫
覡 觋
皰 疱
薩 萨
鴆 鸩
鮭 鲑
麯 曲
紮 扎
醱 酦
瀰 弥
録 录
駁 驳
謊 谎
簷 檐
鋇 钡
煆 锻
驢 驴
嫗 妪
鷙 鸷
鱘 鲟
鏝 镘
啞 哑
賣 卖
蹤 踪
苧 苎
腦 脑
飫 饫
婬 淫
凱 凯
獲 获
噴 喷
諷 讽
惻 恻
鰃 鳂
誌 志
紙 纸
銜 衔
僱 雇
氣 气
輥 辊
戧 戗
頫 俯
鬭 斗
吳 吴
厲 厉
隴 陇
貸 贷
蘿 萝
籃 篮
廄 厩
則 则
蝕 蚀
顏 颜
驗 验
癟 瘪
闞 阚
蕩 荡
顫 颤
繯 缳
獼 猕
觶 觯
浹 浃
賸 剩
迺 乃
夀 寿
綃 绡
騂 骍
麅 狍
瀆 渎
璉 琏
見 见
認 认
紘 纮
鸚 鹦
訢 欣
躥 蹿
莧 苋
颳 刮
鰮 鳁
鄰 邻
爲 为
蠶 蚕
螿 螀
搾 榨
驂 骖
鏇 旋
構 构
諍 诤
譌 讹
汎 泛
鯗 鲞
繚 缭
勝 胜
鑞 镴
裡 里
襠 裆
橢 椭
轤 轳
籮 箩
烱 炯
蹺 跷
幫 帮
頁 页
錇 锫
閈 闬
隊 队
讌 燕
耑 端
憐 怜
顯 显
鶘 鹕
脛 胫
鉄 铁
檢 检
澤 泽
潤 润
礫 砾
稭 秸
週 周
銲 焊
蓋 盖
撾 挝
絃 弦
繅 缫
鍇 锴
瑉 珉
闈 闱
處 处
諸 诸
籙 箓
緘 缄
廚 厨
剝 剥
鏜 镗
辤 辞
諢 诨
濤 涛
對 对
婭 娅
寬 宽
護 护
棶 梾
擾 扰
鮁 鲅
邇 迩
騭 骘
釙 钋
鰂 鲗
斕 斓
銛 铦
級 级
餄 饸
攪 搅
馭 驭
糧 粮
鈰 铈
嚳 喾
儲 储
芻 刍
膽 胆
撿 捡
鯁 鲠
驀 蓦
黃 黄
鍆 钔
請 请
槍 枪
簾 帘
轎 轿
鰹 鲣
嶸 嵘
幘 帻
勛 勋
針 针
遜 逊
睞 睐
詠 咏
淥 渌
蕪 芜
駭 骇
顬 颥
鐒 铹
紇 纥
懽 欢
聼 听
儔 俦
紅 红
玆 兹
疊 迭
憒 愦
蒔 莳
頗 颇
纘 缵
爛 烂
鶚 鹗
瞞 瞒
謡 谣
誠 诚
騫 骞
匱 匮
熲 颎
繃 绷
積 积
橋 桥
闊 阔
襍 杂
蕕 莸
擔 担
塗 涂
選 选
彙 汇
鉛 铅
線 线
韞 韫
歡 欢
蹣 蹒
獺 獭
賤 贱
釐 厘
穫 获
藪 薮
繼 继
鋰 锂
陳 陈
軸 轴
淺 浅
嬀 妫
頂 顶
約 约
蝦 虾
褌 裈
攔 拦
鎛 镈
騮 骝
瘞 瘗
